record_id,record_date,boat_id,boat_type,engine_model,engine_age_years,total_engine_hours,avg_daily_operating_hours,last_maintenance_date,last_maintenance_type,days_since_last_maintenance,hours_since_last_service,engine_temp_c,oil_pressure_bar,coolant_level_percent,engine_rpm,fuel_consumption_lph,vibration_level,unusual_sounds,oil_change_days_ago,filter_change_days_ago,sea_condition,hull_condition,last_inspection_days,condition_severity,maintenance_reason,maintenance_condition_notes,days_until_maintenance,maintenance_needed_soon,maintenance_due_date
R0011,2023-01-05,FB016,Longline,Yanmar 4JH45,1.7,4339,7,2022-10-11,Cooling system overhaul,86,605,93.3,2.06,64,1126,31.6,4,Yes,60,55,5,Fair,29,Warning,Emergency: engine protection,temp=93.3C; oil_pressure=2.06bar; coolant=64%; vibration=4; unusual_sounds; service_hours=605; oil_change_overdue=60days; filter_overdue=55days; sea_state=5,1,Yes,2023-01-06
R0012,2023-01-06,FB030,Trawler,Yanmar 6LY3,6.1,11865,4,2022-11-20,Oil & filter change,47,191,81.9,3.32,95,1169,27.8,3,No,39,31,4,Good,15,Normal,Routine preventive maintenance,vibration=3; sea_state=4,88,No,2023-04-04
R0013,2023-01-06,FB023,Seiner,Volvo D13,7.3,14563,8,2022-09-21,Cooling system overhaul,107,859,81.3,3.8,97,1407,48.1,1,No,24,24,3,Good,10,Normal,Service interval reached (hours),service_hours=859,30,No,2023-02-05
R0014,2023-01-07,FB023,Seiner,Volvo D13,2.7,5613,6,2022-10-09,Fuel filter replacement,90,540,91.0,4.23,88,1708,58.3,3,Yes,41,53,2,Good,14,Normal,Cooling system check required,temp=91.0C; vibration=3; unusual_sounds,38,No,2023-02-14
R0015,2023-01-07,FB022,Gillnetter,Volvo D4-180,2.5,4988,5,2022-10-05,Cooling system service,94,470,83.3,3.31,90,1664,72.8,3,No,65,63,3,Fair,34,Normal,Oil change overdue,vibration=3; oil_change_overdue=65days; filter_overdue=63days,2,Yes,2023-01-09
R0016,2023-01-08,FB024,Net Boat,Perkins M92,7.5,14749,6,2022-10-02,Cooling system service,98,591,97.0,4.46,90,1551,64.0,1,Yes,6,5,3,Poor,68,Normal,Overheating risk,temp=97.0C; unusual_sounds; hull_poor; inspection_overdue=68days,21,No,2023-01-29
R0017,2023-01-08,FB016,Longline,Yanmar 4JH45,7.3,13825,8,2022-12-19,Fuel filter replacement,20,164,83.9,3.84,93,1649,66.5,4,No,41,34,2,Fair,34,Normal,Routine preventive maintenance,vibration=4,33,No,2023-02-10
R0018,2023-01-09,FB004,Net Boat,Cummins QSB6.7,5.3,10344,4,2022-11-20,Oil & filter change,50,201,83.2,2.49,92,1463,52.1,1,No,7,15,5,Good,9,Normal,Low oil pressure,oil_pressure=2.49bar; sea_state=5,58,No,2023-03-08
R0019,2023-01-09,FB026,Longline,Caterpillar C7.1,7.2,13863,6,2022-10-04,Fuel filter replacement,97,583,81.5,2.6,91,1386,32.2,5,Yes,15,13,3,Poor,55,Normal,Abnormal vibration/noise,oil_pressure=2.6bar; vibration=5; unusual_sounds; hull_poor; inspection_overdue=55days,22,No,2023-01-31
R0020,2023-01-10,FB014,Net Boat,MAN D2862,2.1,3336,6,2022-12-29,Oil & filter change,12,72,79.8,3.58,91,1510,53.3,1,No,27,21,1,Good,5,Normal,Routine preventive maintenance,All parameters normal,89,No,2023-04-09
R0021,2023-01-10,FB016,Longline,Yanmar 4JH45,4.3,8202,8,2022-12-23,Oil & filter change,18,146,85.3,4.02,89,1450,47.3,1,No,41,33,3,Good,5,Normal,Routine preventive maintenance,All parameters normal,49,No,2023-02-28
R0022,2023-01-11,FB012,Gillnetter,Caterpillar C9.3,6.7,12876,6,2022-10-06,Cooling system service,97,585,83.0,4.85,92,1444,56.0,3,No,11,8,2,Good,19,Normal,Routine preventive maintenance,vibration=3,59,No,2023-03-11
R0023,2023-01-11,FB006,Longline,Volvo D6-310,3.3,6891,7,2022-12-11,Oil & filter change,31,219,95.2,4.14,97,1206,46.1,1,No,26,21,5,Good,10,Normal,Overheating risk,temp=95.2C; sea_state=5,42,No,2023-02-22
R0024,2023-01-11,FB028,Seiner,John Deere 6068,6.8,13900,7,2022-11-02,Oil & filter change,70,495,92.0,4.48,86,1674,69.5,1,No,9,11,2,Good,19,Normal,Cooling system check required,temp=92.0C,60,No,2023-03-12
R0025,2023-01-12,FB024,Net Boat,Perkins M92,5.0,9548,8,2022-12-19,Oil & filter change,24,196,89.4,3.07,94,1587,73.1,1,No,18,18,3,Good,5,Normal,Cooling system check required,temp=89.4C,80,No,2023-04-02
R0026,2023-01-12,FB020,Trawler,Cummins 6BTA,6.8,13469,5,2022-10-08,Cooling system service,96,483,78.9,3.72,98,1416,47.1,4,Yes,15,17,4,Fair,30,Normal,Abnormal vibration/noise,vibration=4; unusual_sounds; sea_state=4,15,No,2023-01-27
R0027,2023-01-13,FB013,Seiner,John Deere 6068,4.8,8670,7,2022-12-28,Oil & filter change,16,114,81.4,4.53,92,1761,65.9,1,No,22,21,2,Good,18,Normal,Routine preventive maintenance,All parameters normal,62,No,2023-03-16
R0028,2023-01-13,FB025,Trawler,Perkins M115T,4.1,7952,5,2022-09-07,Valve adjustment,128,641,76.8,3.27,90,1264,53.1,3,Yes,33,25,3,Good,17,Normal,Approaching service interval,vibration=3; unusual_sounds; service_hours=641,47,No,2023-03-01
R0029,2023-01-14,FB017,Gillnetter,Yanmar 4LHA,3.0,6199,8,2022-11-18,Cooling system service,57,457,82.1,4.38,96,1329,48.9,3,No,64,73,4,Good,18,Normal,Oil change overdue,vibration=3; oil_change_overdue=64days; filter_overdue=73days; sea_state=4,62,No,2023-03-17
R0030,2023-01-14,FB014,Net Boat,MAN D2862,3.0,6412,8,2023-01-04,Routine inspection,10,85,92.2,4.24,76,1080,31.3,3,Yes,31,34,5,Good,18,Normal,Cooling system check required,temp=92.2C; coolant=76%; vibration=3; unusual_sounds; sea_state=5,51,No,2023-03-06
R0031,2023-01-15,FB014,Net Boat,MAN D2862,6.8,13243,5,2022-07-24,Major service,175,875,81.4,3.96,92,1685,83.8,2,No,6,1,4,Good,12,Normal,Service interval reached (hours),service_hours=875; sea_state=4,55,No,2023-03-11
R0032,2023-01-15,FB007,Gillnetter,Volvo D4-180,2.3,5125,6,2022-12-12,Fuel filter replacement,34,205,80.3,3.6,88,1661,71.0,2,No,36,27,1,Good,13,Normal,Routine preventive maintenance,All parameters normal,64,No,2023-03-20
R0033,2023-01-16,FB003,Seiner,Cummins 6BT5.9,2.1,3442,8,2023-01-08,Routine inspection,8,67,86.8,3.21,85,1531,56.9,5,Yes,30,43,3,Poor,55,Normal,Abnormal vibration/noise,vibration=5; unusual_sounds; hull_poor; inspection_overdue=55days,3,Yes,2023-01-19
R0034,2023-01-16,FB017,Gillnetter,Yanmar 4LHA,2.7,4776,4,2022-08-17,Major service,152,609,78.5,2.19,92,1211,34.7,4,Yes,7,20,3,Good,14,Normal,Low oil pressure,oil_pressure=2.19bar; vibration=4; unusual_sounds; service_hours=609,5,Yes,2023-01-21
R0035,2023-01-17,FB027,Gillnetter,Caterpillar C9.3,2.7,5754,7,2022-10-30,Cooling system service,79,555,84.1,4.18,87,1641,76.7,5,Yes,42,36,3,Good,23,Normal,Abnormal vibration/noise,vibration=5; unusual_sounds,7,Yes,2023-01-24
R0036,2023-01-17,FB002,Gillnetter,Yanmar 4LHA,7.3,15435,8,2022-11-01,Major service,77,622,88.6,4.0,92,1013,31.7,3,No,35,35,5,Poor,48,Normal,Approaching service interval,temp=88.6C; vibration=3; service_hours=622; sea_state=5; hull_poor; inspection_overdue=48days,21,No,2023-02-07
R0037,2023-01-18,FB026,Longline,Caterpillar C7.1,4.3,8846,8,2022-10-07,Valve adjustment,103,824,85.2,3.55,97,1249,43.2,4,Yes,32,36,1,Good,17,Normal,Abnormal vibration/noise,vibration=4; unusual_sounds; service_hours=824,9,No,2023-01-27
R0038,2023-01-18,FB025,Trawler,Perkins M115T,8.4,16779,4,2022-09-02,Cooling system service,138,554,81.9,2.43,68,1063,38.7,5,Yes,64,64,3,Fair,43,Normal,Low oil pressure,oil_pressure=2.43bar; coolant=68%; vibration=5; unusual_sounds; oil_change_overdue=64days; filter_overdue=64days,1,Yes,2023-01-19
R0039,2023-01-19,FB009,Net Boat,Perkins M92,2.5,3902,7,2023-01-07,Oil & filter change,12,89,78.6,3.9,93,1268,51.9,2,No,36,46,3,Good,12,Normal,Routine preventive maintenance,All parameters normal,39,No,2023-02-27
R0040,2023-01-19,FB019,Net Boat,Cummins QSB6.7,6.1,11188,7,2022-12-29,Oil & filter change,21,149,93.9,4.04,74,1352,53.6,5,No,46,50,1,Good,13,Normal,Oil change due soon,temp=93.9C; coolant=74%; vibration=5; oil_change_overdue=46days,18,No,2023-02-06
R0041,2023-01-20,FB005,Trawler,Cummins 6BTA,4.6,9264,4,2022-07-24,Major service,180,812,77.9,4.24,94,1858,84.7,1,No,33,29,3,Good,20,Normal,Service interval reached (hours),service_hours=812,4,Yes,2023-01-24
R0042,2023-01-20,FB023,Seiner,Volvo D13,4.3,8420,7,2023-01-04,Oil & filter change,16,118,80.8,3.33,91,1747,74.7,1,No,57,66,2,Good,19,Normal,Oil change due soon,oil_change_overdue=57days; filter_overdue=66days,60,No,2023-03-21
R0043,2023-01-21,FB022,Gillnetter,Volvo D4-180,7.6,14647,7,2022-11-13,Fuel filter replacement,69,484,79.9,2.92,85,1512,62.5,2,No,29,40,4,Fair,37,Normal,Routine preventive maintenance,sea_state=4,14,No,2023-02-04
R0044,2023-01-21,FB011,Longline,Caterpillar C7.1,8.3,16632,8,2022-10-12,Cooling system overhaul,101,810,79.8,3.85,74,1375,43.4,2,No,36,27,2,Good,14,Normal,Service interval reached (hours),coolant=74%; service_hours=810,9,No,2023-01-30
R0045,2023-01-21,FB003,Seiner,Cummins 6BT5.9,7.6,15257,4,2022-09-29,Oil & filter change,114,458,90.4,2.75,88,1358,65.3,2,Yes,64,75,3,Poor,46,Normal,Oil change overdue,temp=90.4C; oil_pressure=2.75bar; unusual_sounds; oil_change_overdue=64days; filter_overdue=75days; hull_poor; inspection_overdue=46days,26,No,2023-02-16
R0046,2023-01-22,FB030,Trawler,Yanmar 6LY3,2.8,6072,8,2022-12-29,Oil & filter change,24,194,81.0,3.61,98,1342,37.0,3,No,56,63,4,Good,8,Normal,Oil change due soon,vibration=3; oil_change_overdue=56days; filter_overdue=63days; sea_state=4,53,No,2023-03-16
R0047,2023-01-22,FB014,Net Boat,MAN D2862,3.0,6068,6,2022-10-29,Cooling system service,85,513,96.1,2.0,95,1524,61.0,3,No,58,70,3,Good,16,Normal,Overheating risk,temp=96.1C; oil_pressure=2.0bar; vibration=3; oil_change_overdue=58days; filter_overdue=70days,2,Yes,2023-01-24
R0048,2023-01-23,FB027,Gillnetter,Caterpillar C9.3,6.1,12814,5,2022-12-31,Routine inspection,23,115,90.8,4.1,89,1459,42.6,4,Yes,37,49,3,Good,21,Normal,Abnormal vibration/noise,temp=90.8C; vibration=4; unusual_sounds,20,No,2023-02-12
R0049,2023-01-23,FB021,Longline,Volvo D6-310,3.5,7003,5,2022-07-28,Major service,179,896,81.7,4.99,94,1158,37.0,2,No,15,6,3,Good,9,Normal,Service interval reached (hours),service_hours=896,60,No,2023-03-24
R0050,2023-01-24,FB024,Net Boat,Perkins M92,6.6,13142,7,2022-11-10,Cooling system service,75,531,83.5,2.63,100,1433,48.0,2,No,27,27,4,Fair,33,Normal,Routine preventive maintenance,oil_pressure=2.63bar; sea_state=4,71,No,2023-04-05
R0051,2023-01-24,FB023,Seiner,Volvo D13,5.5,11532,8,2022-11-13,Fuel filter replacement,72,581,78.3,5.16,99,1405,52.8,3,No,43,34,3,Good,10,Normal,Routine preventive maintenance,vibration=3,44,No,2023-03-09
R0052,2023-01-25,FB006,Longline,Volvo D6-310,5.4,10310,5,2022-12-13,Oil & filter change,43,219,80.0,3.66,90,1197,43.1,3,No,29,19,3,Good,9,Normal,Routine preventive maintenance,vibration=3,8,No,2023-02-02
R0053,2023-01-25,FB011,Longline,Caterpillar C7.1,7.3,16007,8,2023-01-01,Oil & filter change,24,196,81.5,4.01,74,1128,27.6,4,Yes,55,67,3,Fair,47,Normal,Abnormal vibration/noise,coolant=74%; vibration=4; unusual_sounds; oil_change_overdue=55days; filter_overdue=67days; inspection_overdue=47days,15,No,2023-02-09
R0054,2023-01-26,FB015,Trawler,Yanmar 6LY3,6.5,13187,7,2023-01-11,Routine inspection,15,110,81.4,2.95,93,1133,36.2,2,No,40,36,3,Fair,48,Normal,Hull/inspection required,inspection_overdue=48days,35,No,2023-03-02
R0055,2023-01-26,FB015,Trawler,Yanmar 6LY3,1.7,3590,4,2022-09-13,Fuel filter replacement,135,542,87.5,4.4,92,1216,53.7,1,No,44,35,4,Good,27,Normal,Cooling system check required,temp=87.5C; sea_state=4,36,No,2023-03-03
R0056,2023-01-27,FB002,Gillnetter,Yanmar 4LHA,1.8,3862,6,2022-10-18,Cooling system overhaul,101,609,82.7,3.82,97,1331,35.7,5,No,54,67,1,Good,25,Normal,Approaching service interval,vibration=5; service_hours=609; oil_change_overdue=54days; filter_overdue=67days,40,No,2023-03-08
R0057,2023-01-27,FB017,Gillnetter,Yanmar 4LHA,5.7,12338,8,2022-10-16,Cooling system overhaul,103,825,77.2,3.76,67,1535,51.1,1,No,29,29,3,Good,14,Normal,Service interval reached (hours),coolant=67%; service_hours=825,4,Yes,2023-01-31
R0058,2023-01-28,FB005,Trawler,Cummins 6BTA,4.9,10196,4,2023-01-04,Routine inspection,24,97,83.3,1.92,86,1315,54.4,3,No,28,20,5,Good,21,Normal,Low oil pressure,oil_pressure=1.92bar; vibration=3; sea_state=5,2,Yes,2023-01-30
R0059,2023-01-28,FB023,Seiner,Volvo D13,3.3,5797,4,2022-12-25,Routine inspection,34,139,94.3,3.84,94,1712,69.4,2,No,29,25,4,Good,11,Normal,Cooling system check required,temp=94.3C; sea_state=4,6,Yes,2023-02-03
R0060,2023-01-29,FB021,Longline,Volvo D6-310,4.4,9501,4,2022-10-15,Cooling system service,106,425,83.6,4.31,92,1169,39.9,2,No,50,40,3,Good,18,Normal,Oil change due soon,oil_change_overdue=50days,54,No,2023-03-24
R0061,2023-01-29,FB028,Seiner,John Deere 6068,6.8,13429,6,2022-10-18,Major service,103,622,81.6,3.66,93,1635,73.6,4,Yes,59,65,4,Fair,29,Normal,Abnormal vibration/noise,vibration=4; unusual_sounds; service_hours=622; oil_change_overdue=59days; filter_overdue=65days; sea_state=4,10,No,2023-02-08
R0062,2023-01-30,FB023,Seiner,Volvo D13,7.3,14653,4,2022-09-13,Oil & filter change,139,556,98.4,4.5,93,1386,43.4,2,No,60,73,3,Poor,60,Normal,Overheating risk,temp=98.4C; oil_change_overdue=60days; filter_overdue=73days; hull_poor; inspection_overdue=60days,4,Yes,2023-02-03
R0063,2023-01-30,FB011,Longline,Caterpillar C7.1,5.4,10160,8,2023-01-19,Oil & filter change,11,93,78.4,4.48,97,1258,38.8,1,No,36,35,3,Fair,33,Normal,Routine preventive maintenance,All parameters normal,54,No,2023-03-25
R0064,2023-01-31,FB030,Trawler,Yanmar 6LY3,4.2,8663,4,2022-12-30,Routine inspection,32,131,87.3,3.42,96,1314,40.8,4,Yes,54,65,2,Good,13,Normal,Abnormal vibration/noise,temp=87.3C; vibration=4; unusual_sounds; oil_change_overdue=54days; filter_overdue=65days,18,No,2023-02-18
R0065,2023-01-31,FB013,Seiner,John Deere 6068,3.4,6474,4,2022-10-17,Fuel filter replacement,106,427,78.8,4.76,65,1219,38.1,1,No,33,31,2,Fair,24,Normal,Cooling system check required,coolant=65%,44,No,2023-03-16
R0066,2023-01-31,FB010,Trawler,Perkins M115T,5.2,10450,5,2022-08-11,Major service,173,868,84.0,3.83,92,1610,75.1,2,No,44,45,1,Fair,29,Normal,Service interval reached (hours),service_hours=868,34,No,2023-03-06
R0067,2023-02-01,FB028,Seiner,John Deere 6068,3.7,7257,7,2022-10-06,Major service,118,829,92.9,3.83,91,1405,36.3,3,Yes,22,17,4,Fair,34,Normal,Service interval reached (hours),temp=92.9C; vibration=3; unusual_sounds; service_hours=829; sea_state=4,10,No,2023-02-11
R0068,2023-02-01,FB012,Gillnetter,Caterpillar C9.3,5.4,11762,8,2022-12-11,Cooling system service,52,420,82.6,3.86,81,1432,42.4,2,No,35,25,3,Fair,38,Normal,Routine preventive maintenance,coolant=81%,62,No,2023-04-04
R0069,2023-02-02,FB003,Seiner,Cummins 6BT5.9,6.2,13391,5,2022-10-20,Fuel filter replacement,105,525,83.8,3.84,92,1299,33.4,3,Yes,18,12,5,Fair,45,Normal,Hull/inspection required,vibration=3; unusual_sounds; sea_state=5; inspection_overdue=45days,14,No,2023-02-16
R0070,2023-02-02,FB015,Trawler,Yanmar 6LY3,2.0,4023,6,2022-11-22,Oil & filter change,72,436,87.1,2.22,100,1334,60.3,2,No,36,40,2,Good,22,Normal,Low oil pressure,temp=87.1C; oil_pressure=2.22bar,48,No,2023-03-22
R0071,2023-02-03,FB024,Net Boat,Perkins M92,1.5,3031,7,2022-11-23,Oil & filter change,72,509,83.7,3.69,86,1557,54.5,2,No,15,7,2,Good,17,Normal,Routine preventive maintenance,All parameters normal,15,No,2023-02-18
R0072,2023-02-03,FB006,Longline,Volvo D6-310,3.0,5813,7,2023-01-06,Fuel filter replacement,28,196,80.3,2.98,92,1102,31.8,2,No,32,42,4,Good,16,Normal,Routine preventive maintenance,sea_state=4,72,No,2023-04-16
R0073,2023-02-04,FB014,Net Boat,MAN D2862,7.8,16153,4,2022-12-26,Oil & filter change,40,161,93.0,4.78,72,1481,41.3,4,Yes,5,17,1,Fair,35,Normal,Abnormal vibration/noise,temp=93.0C; coolant=72%; vibration=4; unusual_sounds,14,No,2023-02-18
R0074,2023-02-04,FB004,Net Boat,Cummins QSB6.7,6.0,11835,8,2022-10-25,Valve adjustment,102,822,85.3,4.75,70,1386,48.2,1,No,64,61,3,Fair,47,Normal,Service interval reached (hours),coolant=70%; service_hours=822; oil_change_overdue=64days; filter_overdue=61days; inspection_overdue=47days,23,No,2023-02-27
R0075,2023-02-05,FB021,Longline,Volvo D6-310,2.7,5189,8,2022-10-25,Cooling system overhaul,103,826,80.1,4.31,89,1301,53.6,5,Yes,16,12,2,Good,24,Normal,Abnormal vibration/noise,vibration=5; unusual_sounds; service_hours=826,40,No,2023-03-17
R0076,2023-02-05,FB015,Trawler,Yanmar 6LY3,7.7,15889,7,2022-11-21,Cooling system service,76,536,82.5,3.66,87,1721,71.4,2,No,14,8,2,Fair,32,Normal,Routine preventive maintenance,All parameters normal,85,No,2023-05-01
R0077,2023-02-06,FB010,Trawler,Perkins M115T,4.8,9330,6,2023-01-26,Routine inspection,11,66,94.6,3.2,87,1263,42.8,2,No,18,18,3,Good,17,Normal,Cooling system check required,temp=94.6C,53,No,2023-03-31
R0078,2023-02-06,FB007,Gillnetter,Volvo D4-180,4.8,9581,5,2022-11-04,Fuel filter replacement,94,471,78.1,3.41,98,1682,52.9,3,No,21,33,3,Good,13,Normal,Routine preventive maintenance,vibration=3,24,No,2023-03-02
R0079,2023-02-07,FB017,Gillnetter,Yanmar 4LHA,8.0,15209,8,2023-01-15,Fuel filter replacement,23,188,78.9,4.97,89,1573,58.0,2,No,10,9,2,Fair,37,Normal,Routine preventive maintenance,All parameters normal,26,No,2023-03-05
R0080,2023-02-07,FB021,Longline,Volvo D6-310,1.9,4152,8,2023-01-13,Fuel filter replacement,25,207,82.2,3.38,91,1301,47.2,3,No,27,36,2,Good,14,Normal,Routine preventive maintenance,vibration=3,89,No,2023-05-07
R0081,2023-02-08,FB029,Net Boat,MAN D2862,3.0,6970,6,2022-11-25,Cooling system service,75,453,87.1,2.39,100,1786,63.9,5,No,9,7,2,Good,24,Normal,Low oil pressure,temp=87.1C; oil_pressure=2.39bar; vibration=5,45,No,2023-03-25
R0082,2023-02-08,FB014,Net Boat,MAN D2862,5.6,11560,7,2022-11-10,Valve adjustment,90,630,83.1,4.42,90,1605,68.6,4,Yes,26,27,2,Good,21,Normal,Abnormal vibration/noise,vibration=4; unusual_sounds; service_hours=630,41,No,2023-03-21
R0083,2023-02-09,FB005,Trawler,Cummins 6BTA,2.9,6530,5,2023-01-29,Routine inspection,11,55,96.0,4.7,94,1435,61.2,3,No,19,21,5,Good,9,Normal,Overheating risk,temp=96.0C; vibration=3; sea_state=5,29,No,2023-03-10
R0084,2023-02-09,FB025,Trawler,Perkins M115T,6.3,12176,7,2022-11-25,Cooling system service,76,538,76.9,4.8,67,1554,55.1,3,Yes,63,75,4,Poor,45,Normal,Oil change overdue,coolant=67%; vibration=3; unusual_sounds; oil_change_overdue=63days; filter_overdue=75days; sea_state=4; hull_poor; inspection_overdue=45days,15,No,2023-02-24
R0085,2023-02-10,FB019,Net Boat,Cummins QSB6.7,3.0,6118,4,2022-09-11,Valve adjustment,152,610,97.4,4.42,97,1516,64.3,2,No,11,13,2,Good,27,Normal,Overheating risk,temp=97.4C; service_hours=610,45,No,2023-03-27
R0086,2023-02-10,FB022,Gillnetter,Volvo D4-180,2.2,3928,8,2023-01-31,Oil & filter change,10,87,95.7,1.87,87,1549,58.6,4,Yes,48,53,3,Fair,31,Normal,Emergency: engine protection,temp=95.7C; oil_pressure=1.87bar; vibration=4; unusual_sounds; oil_change_overdue=48days,1,Yes,2023-02-11
R0087,2023-02-10,FB003,Seiner,Cummins 6BT5.9,2.9,5686,6,2023-01-06,Fuel filter replacement,35,211,83.5,3.83,90,1829,85.5,1,No,5,16,2,Good,8,Normal,Routine preventive maintenance,All parameters normal,65,No,2023-04-16
R0088,2023-02-11,FB010,Trawler,Perkins M115T,4.5,9386,6,2022-10-27,Valve adjustment,107,646,79.5,2.55,94,1589,80.1,1,No,39,52,2,Good,22,Normal,Approaching service interval,oil_pressure=2.55bar; service_hours=646,71,No,2023-04-23
R0089,2023-02-11,FB024,Net Boat,Perkins M92,2.7,5450,4,2022-08-15,Cooling system overhaul,180,813,85.8,3.82,100,1602,52.7,3,No,19,31,5,Good,15,Normal,Service interval reached (hours),vibration=3; service_hours=813; sea_state=5,9,No,2023-02-20
R0090,2023-02-12,FB025,Trawler,Perkins M115T,2.4,4093,6,2022-09-18,Cooling system overhaul,147,883,80.9,2.1,89,1612,70.0,1,No,38,30,2,Good,17,Normal,Low oil pressure,oil_pressure=2.1bar; service_hours=883,24,No,2023-03-08
R0091,2023-02-12,FB014,Net Boat,MAN D2862,7.5,14342,4,2023-01-28,Routine inspection,15,63,78.6,3.72,91,1294,57.2,3,Yes,67,59,5,Poor,60,Normal,Oil change overdue,vibration=3; unusual_sounds; oil_change_overdue=67days; filter_overdue=59days; sea_state=5; hull_poor; inspection_overdue=60days,1,Yes,2023-02-13
R0092,2023-02-13,FB025,Trawler,Perkins M115T,3.7,6709,8,2022-12-08,Oil & filter change,67,539,82.2,3.69,94,1295,36.8,1,No,38,38,4,Good,12,Normal,Routine preventive maintenance,sea_state=4,8,No,2023-02-21
R0093,2023-02-13,FB026,Longline,Caterpillar C7.1,4.0,8245,7,2022-10-23,Cooling system overhaul,113,793,94.9,3.22,95,1217,36.0,1,No,27,25,4,Good,18,Normal,Service interval reached (hours),temp=94.9C; service_hours=793; sea_state=4,63,No,2023-04-17
R0094,2023-02-14,FB012,Gillnetter,Caterpillar C9.3,1.9,4831,6,2023-01-19,Oil & filter change,26,156,79.3,3.2,95,1514,52.4,3,No,36,42,3,Good,20,Normal,Routine preventive maintenance,vibration=3,11,No,2023-02-25
R0095,2023-02-14,FB027,Gillnetter,Caterpillar C9.3,4.0,8681,8,2022-12-17,Cooling system service,59,477,85.8,4.9,89,1346,47.1,3,Yes,52,52,2,Fair,39,Normal,Oil change due soon,vibration=3; unusual_sounds; oil_change_overdue=52days,17,No,2023-03-03
R0096,2023-02-15,FB009,Net Boat,Perkins M92,3.4,5852,8,2023-01-31,Routine inspection,15,124,82.0,4.92,90,1928,77.5,5,Yes,32,32,4,Good,25,Normal,Abnormal vibration/noise,vibration=5; unusual_sounds; sea_state=4,8,No,2023-02-23
R0097,2023-02-15,FB008,Seiner,Volvo D13,5.8,12310,4,2022-09-21,Fuel filter replacement,147,588,81.5,3.8,93,1617,61.6,1,No,27,19,4,Good,13,Normal,Routine preventive maintenance,sea_state=4,35,No,2023-03-22
R0098,2023-02-16,FB021,Longline,Volvo D6-310,2.9,6268,4,2023-01-26,Oil & filter change,21,85,83.8,3.97,98,1101,42.3,1,No,15,13,3,Fair,36,Normal,Routine preventive maintenance,All parameters normal,35,No,2023-03-23
